ntp_time,throughput
1654263245.675345,64674.20062675476
1654263250.675345,83916.3737247944
1654263255.675345,67131.59235057831
1654263260.675345,72580.00287399293
1654263265.675345,72565.37851700783
1654263270.675345,66841.98471746445
1654263275.675345,61141.97362389563
1654263280.675345,77895.20126399994
1654263285.675345,61249.76720223427
1654263290.675345,61199.218703317645
1654263295.675345,61383.62358212471
1654263300.675345,72478.38413143158
1654263305.675345,66704.18061232567
1654263310.675345,66968.75425462723
1654263315.675345,61296.35184278488
1654263320.675345,61304.83577299118
1654263325.675345,61304.160145998
1654263330.675345,61357.99096260071
1654263335.675345,66962.63534145356
1654263340.675345,55785.850926113126
1654263345.675345,67045.40695185661
1654263350.675345,55854.18679976463
1654263355.675345,55883.476415014266
1654263360.675345,67104.38987379074
1654263365.675345,55960.196410655975
1654263370.675345,55974.43087472916
1654263375.675345,56072.57814116478
1654263380.675345,56008.244666147235
1654263385.675345,56092.82147774696
1654263390.675345,61710.40761342049
1654263395.675345,56176.340722084045
1654263400.675345,56211.07343692779
1654263405.675345,56232.17341094017
1654263410.675345,56259.015498161316
1654263415.675345,61925.45201187134
1654263420.675345,56326.83024082184
1654263425.675345,50750.18728971481
1654263430.675345,62016.067839431766
1654263435.675345,56388.448263597485
1654263440.675345,56411.202742004374
1654263445.675345,56470.44014778137
1654263450.675345,62111.823389387144
1654263455.675345,50903.37236890793
1654263460.675345,50890.978205776206
1654263465.675345,62130.97235436439
1654263470.675345,50821.98363037109
1654263475.675345,56464.6146132946
1654263480.675345,56462.42304854392
1654263485.675345,56515.16334066391
1654263490.675345,56480.543470335004
1654263495.675345,56592.16977915764
1654263500.675345,56642.8759953022
1654263505.675345,56639.50370078087
1654263510.675345,56705.79163413048
1654263515.675345,56713.2363653183
1654263520.675345,58216.19814043045
1654263525.675345,58778.600278759004
1654263530.675345,52511.032016420366
1654263535.675345,64097.444602203366
1654263540.675345,58247.59168844223
1654263545.675345,58289.64578738213
1654263550.675345,63950.01574921608
1654263555.675345,57983.60422787666
1654263560.675345,58034.80504536629
1654263565.675345,57997.61662507057
1654263570.675345,57969.23057560921
1654263575.675345,63723.61383271217
1654263580.675345,57775.00798835753
1654263585.675345,57756.603833436966
1654263590.675345,57667.7620258808
1654263595.675345,63533.93331828118
1654263600.675345,57839.05964221953
1654263605.675345,57830.9404355526
1654263610.675345,57951.221919536576
1654263615.675345,58011.776629257205
1654263620.675345,63751.96696457863
1654263625.675345,57909.96465339661
1654263630.675345,57922.86151943207
1654263635.675345,63714.951109981535
1654263640.675345,57927.80182666778
1654263645.675345,57844.171858501446
1654263650.675345,65719.0758916378
1654263655.675345,60272.39211192131
1654263660.675345,58248.95578126908
1654263665.675345,52445.158607578276
1654263670.675345,64357.62816414833
1654263675.675345,58655.27822451592
1654263680.675345,64828.17597284317
1654263685.675345,52648.54787726402
1654263690.675345,64302.98386559486
1654263695.675345,58449.63136768341
1654263700.675345,58491.658426570895
1654263705.675345,60780.16943449974
1654263710.675345,53671.365380811694
1654263715.675345,57936.014616155626
1654263720.675345,61317.78338117599
1654263725.675345,48243.732026576996
1654263730.675345,52562.38263092041
1654263735.675345,53860.16478080749
1654263740.675345,46933.35625433922
1654263745.675345,58463.32567462921
1654263750.675345,64350.00597400665
1654263755.675345,47532.22837119103
1654263760.675345,58207.38775162697
1654263765.675345,52363.430063152315
1654263770.675345,52353.627418613425
1654263775.675345,57924.56972856521
1654263780.675345,52118.19494171142
1654263785.675345,58003.2829834938
1654263790.675345,52125.07698059082
1654263795.675345,52104.86211833954
1654263800.675345,52067.436861133574
1654263805.675345,52001.751775169374
1654263810.675345,57851.61096405983
1654263815.675345,57816.062640190125
1654263820.675345,63263.15977649689
1654263825.675345,58102.962810325625
1654263830.675345,57976.07556505203
1654263835.675345,58002.76055831909
1654263840.675345,63762.37336587906
1654263845.675345,57959.67861361503
1654263850.675345,58009.15742688179
1654263855.675345,58032.044435358046
1654263860.675345,58061.575897026065
1654263865.675345,58034.19215927124
1654263870.675345,58045.83733296394
1654263875.675345,58084.616046762465
1654263880.675345,58076.448062133786
1654263885.675345,52342.343112134935
1654263890.675345,52421.91897702218
1654263895.675345,61931.77371206284
1654263900.675345,46773.26538167
1654263905.675345,46539.71287455559
1654263910.675345,52297.174143409735
1654263915.675345,52388.74686794281
1654263920.675345,40823.177769565584
1654263925.675345,52338.59055285454
1654263930.675345,58177.18729462624
1654263935.675345,46586.64449486732
1654263940.675345,23267.04656419754
1654263945.675345,46553.811655712125
1654263950.675345,46629.04608435631
1654263955.675345,40830.73513588905
1654263960.675345,58360.53741121292
1654263965.675345,58516.659530115125
1654263970.675345,58414.52003030777
1654263975.675345,58386.13470525741
1654263980.675345,58309.82419538498
1654263985.675345,58385.82678523064
1654263990.675345,64263.9636382103
1654263995.675345,58427.55477809906
1654264000.675345,64395.98384618759
1654264005.675345,58739.6227953434
1654264010.675345,64356.60310149193
1654264015.675345,58373.174086904524
1654264020.675345,52645.20864081383
1654264025.675345,59140.00931839943
1654264030.675345,61613.76186032295
1654264035.675345,61841.36311612129
1654264040.675345,61914.28866147995
1654264045.675345,42971.55089988708
1654264050.675345,54596.16585698128
1654264055.675345,58547.94604830742
1654264060.675345,46787.841559886925
1654264065.675345,58369.84357762337
1654264070.675345,46635.006163024904
1654264075.675345,52459.192703199384
1654264080.675345,52329.5614054203
1654264085.675345,52259.01309561729
1654264090.675345,52317.60363483429
1654264095.675345,58046.76997089386
1654264100.675345,58106.81609334946
1654264105.675345,52291.67725567818
1654264110.675345,48759.420470047
1654264115.675345,52959.54891605377
1654264120.675345,52324.61864910125
1654264125.675345,58125.12950119972
1654264130.675345,46572.98544363976
1654264135.675345,58173.49448571205
1654264140.675345,52287.81178445816
1654264145.675345,58066.99232354164
1654264150.675345,52331.28131704331
1654264155.675345,63933.999527692795
1654264160.675345,58167.73961853981
1654264165.675345,58087.41316990853
1654264170.675345,58206.93336701393
1654264175.675345,58113.54991221428
1654264180.675345,63784.84941005707
1654264185.675345,58038.20829396248
1654264190.675345,58017.617071914676
1654264195.675345,64030.170136356355
1654264200.675345,52466.77693419457
1654264205.675345,52448.24008221626
1654264210.675345,56407.474746608736
1654264215.675345,49173.15242190361
1654264220.675345,56888.838465642926
1654264225.675345,44585.33935904503
1654264230.675345,51141.33164234161
1654264235.675345,51204.42426013946
1654264240.675345,51202.73280005455
1654264245.675345,51313.87086324692
1654264250.675345,51281.02858223915
1654264255.675345,44806.85801038741
1654264260.675345,51357.61490774155
1654264265.675345,51361.77113747597
1654264270.675345,51317.221665143974
1654264275.675345,44938.60718197822
1654264280.675345,51451.24230003357
1654264285.675345,51517.58851356506
1654264290.675345,51477.54963436127
1654264295.675345,45011.59533238411
1654264300.675345,51592.36584534645
1654264305.675345,51672.06134896279
1654264310.675345,51692.273872852325
1654264315.675345,51679.941127252576
1654264320.675345,45241.56778659821
1654264325.675345,51669.584724330896
1654264330.675345,45219.98440904617
1654264335.675345,51729.21225767137
1654264340.675345,45208.27932605743
1654264345.675345,51662.35038824081
1654264350.675345,51425.20847725868
1654264355.675345,51490.89227566719
1654264360.675345,51478.06528544426
1654264365.675345,44992.883622980116
1654264370.675345,51408.13362197876
1654264375.675345,44990.81155314445
1654264380.675345,51448.27227063179
1654264385.675345,51457.565565919875
1654264390.675345,45037.75384349823
1654264395.675345,51488.03616871833
1654264400.675345,51450.72253832817
1654264405.675345,51422.352850866315
1654264410.675345,51401.21217904091
1654264415.675345,44933.45482182503
1654264420.675345,51341.942249488835
1654264425.675345,51281.24137749672
1654264430.675345,44903.54626693726
1654264435.675345,51344.2193051815
1654264440.675345,44875.78974690438
1654264445.675345,44860.51053137779
1654264450.675345,51279.05407457352
1654264455.675345,51290.4426445961
1654264460.675345,51296.02268590927
1654264465.675345,44836.47378382683
1654264470.675345,51281.36220755577
1654264475.675345,51256.91960439681
1654264480.675345,44869.02479715347
1654264485.675345,51292.37462987899
1654264490.675345,44878.828628015515
1654264495.675345,51303.29675202369
1654264500.675345,51316.84574542045
1654264505.675345,51295.46885676384
1654264510.675345,51327.82272596359
1654264515.675345,44950.9564007759
1654264520.675345,51338.59056997299
1654264525.675345,51282.09232544899
1654264530.675345,51263.38245234489
1654264535.675345,44853.40487513542
1654264540.675345,44842.02691669464
1654264545.675345,44816.16886806488
1654264550.675345,51247.40261116028
1654264555.675345,51232.38410010338
1654264560.675345,51279.673323869705
1654264565.675345,44811.554631853105
1654264570.675345,44805.61287870408
1654264575.675345,44829.79858598709
1654264580.675345,51182.42616744041
1654264585.675345,51245.93894190788
1654264590.675345,51214.53003001212
1654264595.675345,44869.066050291054
1654264600.675345,51257.81574220657
1654264605.675345,44857.28726096153
1654264610.675345,44852.439644908896
1654264615.675345,51252.40058016776
1654264620.675345,44822.78072180749
1654264625.675345,44843.921043491355
1654264630.675345,51210.70629234314
1654264635.675345,44833.111992883685
1654264640.675345,51215.34891862869
1654264645.675345,51242.43131623269
1654264650.675345,44908.806375789645
1654264655.675345,51321.722619199754
1654264660.675345,51314.938012170795
1654264665.675345,44913.39363818169
1654264670.675345,44918.715435075756
1654264675.675345,51353.58140974045
1654264680.675345,44898.27953944206
1654264685.675345,44917.13294434548
1654264690.675345,51316.35627646446
1654264695.675345,44926.35213866234
1654264700.675345,51305.95649781228
1654264705.675345,44886.56800642013
1654264710.675345,51265.86050171852
1654264715.675345,44885.2710000515
1654264720.675345,51289.040557479864
1654264725.675345,44852.98876161575
1654264730.675345,51218.48952255249
1654264735.675345,51251.40703644753
1654264740.675345,44801.1386241436
1654264745.675345,51217.46865949632
1654264750.675345,44840.46967959403
1654264755.675345,51246.02695221901
1654264760.675345,44826.39762539863
1654264765.675345,51200.71397995949
1654264770.675345,51232.37545466423
1654264775.675345,44842.99225845336
1654264780.675345,51248.17126765251
1654264785.675345,51213.18972873688
1654264790.675345,44868.46211166383
1654264795.675345,51293.41677494049
1654264800.675345,51207.07196612358
1654264805.675345,44792.97498326302
1654264810.675345,51152.39866604805
1654264815.675345,44799.439301252365
1654264820.675345,51150.24564490318
1654264825.675345,44742.94369792938
1654264830.675345,51183.233001279834
1654264835.675345,44764.81590695381
1654264840.675345,51103.59224405289
1654264845.675345,44704.96719636917
1654264850.675345,51107.32035608291
1654264855.675345,44730.36820950508
1654264860.675345,51085.380277490614
1654264865.675345,44726.927678775784
1654264870.675345,12883.76499466896
1654264875.675345,940.0
1654264880.675345,940.0
1654264885.675345,940.0
1654264890.675345,940.0
1654264895.675345,940.0
1654264900.675345,940.0
1654264905.675345,8131.224017429352
1654264910.675345,99262.42219128608
1654264915.675345,16919.593941879226
1654264920.675345,265815.890854311
1654264925.675345,50834.59626717567
1654264930.675345,44465.94557151794
1654264935.675345,44505.255802106854
1654264940.675345,50849.4393190384
1654264945.675345,44428.77477731705
1654264950.675345,44408.99620504379
1654264955.675345,50451.078746604915
1654264960.675345,43995.72206397056
1654264965.675345,43938.40544381142
1654264970.675345,43879.686406135566
1654264975.675345,43954.58492555619
1654264980.675345,50311.949239254
1654264985.675345,50039.29594283104
1654264990.675345,43824.35116772651
1654264995.675345,49979.03155941963
1654265000.675345,43784.161032104494
1654265005.675345,49879.91299014092
1654265010.675345,43489.127895736696
1654265015.675345,43488.86004695892
1654265020.675345,49688.41749625206
1654265025.675345,43483.78598918915
1654265030.675345,49655.41619138718
1654265035.675345,43422.41533265114
1654265040.675345,43422.735936546334
1654265045.675345,37251.40395450592
1654265050.675345,49635.39923467636
1654265055.675345,43387.16189060211
1654265060.675345,49595.20464010238
1654265065.675345,43422.89151186943
1654265070.675345,43391.06153297424
1654265075.675345,49407.09212756156
1654265080.675345,43035.04492735863
1654265085.675345,49027.48597931862
1654265090.675345,48868.81235966682
1654265095.675345,42726.74116539955
1654265100.675345,48910.573137283325
1654265105.675345,42838.97872300148
1654265110.675345,48915.20575504303
1654265115.675345,42860.93860187531
1654265120.675345,42826.64672970772
1654265125.675345,36660.22698626518
1654265130.675345,42796.74985508919
1654265135.675345,36717.537698602675
1654265140.675345,42844.35190010071
1654265145.675345,48927.29186339378
1654265150.675345,42787.167337369916
1654265155.675345,36694.3205458641
1654265160.675345,42794.895854091636
1654265165.675345,42779.51491832733
1654265170.675345,42778.29445767402
1654265175.675345,48900.754127216336
1654265180.675345,42802.3381444931
1654265185.675345,48925.606755352026
1654265190.675345,42810.21540589332
1654265195.675345,42778.04223356247
1654265200.675345,48977.2312230587
1654265205.675345,48852.80922861099
1654265210.675345,42755.44213147164
1654265215.675345,48837.449775838846
1654265220.675345,48779.213502979284
1654265225.675345,48857.71545610427
1654265230.675345,42752.32587647438
1654265235.675345,48855.15502257347
1654265240.675345,42600.6822414875
1654265245.675345,48603.32185835838
1654265250.675345,42418.41584115029
1654265255.675345,48658.66492362022
1654265260.675345,42589.34371471405
1654265265.675345,42564.39789052011
1654265270.675345,48665.8759399891
1654265275.675345,48690.572389316556
1654265280.675345,42635.95577311516
1654265285.675345,48624.02383308411
1654265290.675345,42459.88880300522
1654265295.675345,42533.24251813888
1654265300.675345,42535.449908828734
1654265305.675345,48605.00087513924
1654265310.675345,42530.497292757034
1654265315.675345,48506.76688652038
1654265320.675345,42447.97302556038
1654265325.675345,48482.24970970153
1654265330.675345,48569.15936441421
1654265335.675345,42446.17494783401
1654265340.675345,48439.277948999414
1654265345.675345,42292.57013711929
1654265350.675345,42331.96138186455
1654265355.675345,42373.51987652779
1654265360.675345,48418.09921841622
1654265365.675345,42420.54045844078
1654265370.675345,48481.39224710465
1654265375.675345,48491.54907717706
1654265380.675345,42459.288139867786
1654265385.675345,48493.1950237751
1654265390.675345,42444.30295567513
1654265395.675345,48462.75891203881
1654265400.675345,48508.65388383865
1654265405.675345,36372.13578419686
1654265410.675345,42440.416361045834
1654265415.675345,42473.9661204815
1654265420.675345,48499.43872489929
1654265425.675345,42468.288975524905
1654265430.675345,42412.57799515725
1654265435.675345,42400.2623038292
1654265440.675345,36326.01392946243
1654265445.675345,48415.03730506897
1654265450.675345,42613.68415737152
1654265455.675345,42110.279969406125
1654265460.675345,48196.74599027634
1654265465.675345,42167.97232708931
1654265470.675345,42139.51803560257
1654265475.675345,42190.796924543385
1654265480.675345,48275.464462852484
1654265485.675345,42215.17340188027
1654265490.675345,42161.45379805565
1654265495.675345,42138.835867023474
1654265500.675345,42076.4482278347
1654265505.675345,48083.33049640656
1654265510.675345,42120.378805875785
1654265515.675345,48280.84976687431
1654265520.675345,42174.2032172203
1654265525.675345,42115.895421457295
1654265530.675345,42171.411391353606
1654265535.675345,42209.95262851716
1654265540.675345,42209.3172235012
1654265545.675345,36170.659460639945
1654265550.675345,48280.447636842735
1654265555.675345,42199.01222839356
1654265560.675345,36234.256551074985
1654265565.675345,36226.44944362641
1654265570.675345,42266.93314547539
1654265575.675345,36209.97471704483
1654265580.675345,42285.7957151413
1654265585.675345,36224.70709004402
1654265590.675345,36244.158687448515
1654265595.675345,42260.51825838089
1654265600.675345,17074.57693939209
1654265605.675345,0.0
1654265610.675345,0.0
1654265615.675345,0.0
1654265620.675345,0.0
1654265625.675345,0.0
1654265630.675345,0.0
1654265635.675345,0.0
1654265640.675345,0.0
1654265645.675345,0.0
1654265650.675345,0.0
1654265655.675345,0.0
1654265660.675345,0.0
1654265665.675345,0.0
1654265670.675345,0.0
1654265675.675345,0.0
1654265680.675345,0.0
1654265685.675345,0.0
1654265690.675345,0.0
1654265695.675345,0.0
1654265700.675345,0.0
1654265705.675345,0.0
1654265710.675345,52932.613734149934
1654265715.675345,67835.36474547387
1654265720.675345,66331.56773400307
1654265725.675345,82240.6030061245
1654265730.675345,76656.7546570301
1654265735.675345,76449.95543308258
1654265740.675345,59973.24190325737
1654265745.675345,70803.8625002384
1654265750.675345,76182.17291088104
1654265755.675345,65197.21301226616
1654265760.675345,76094.0391315937
1654265765.675345,65229.63879766463
1654265770.675345,81530.96055045127
1654265775.675345,59729.63874006271
1654265780.675345,65111.948890686035
1654265785.675345,70569.22128162385
1654265790.675345,65161.43158407211
1654265795.675345,70586.94982519149
1654265800.675345,76064.25805196763
1654265805.675345,81423.4128297329
1654265810.675345,70688.56091227531
1654265815.675345,70715.58443078995
1654265820.675345,76203.01731619835
1654265825.675345,81708.81734442711
1654265830.675345,65430.81346373558
1654265835.675345,76369.35678682328
1654265840.675345,76384.98235569001
1654265845.675345,81819.60898556709
1654265850.675345,70983.44093995095
1654265855.675345,81927.19094882012
1654265860.675345,81993.9793484211
1654265865.675345,76570.40272779464
1654265870.675345,65642.1738182068
1654265875.675345,71185.18187046051
1654265880.675345,76676.17851524353
1654265885.675345,65723.03682847023
1654265890.675345,54768.95705471039
1654265895.675345,65805.16309409142
1654265900.675345,71235.96741952896
1654265905.675345,60395.200775575635
1654265910.675345,65970.0091972828
1654265915.675345,65940.55271310806
1654265920.675345,64723.17917971611
